dataset,percent-heldout,seed,transfer,raw,target_only
log_REP_GDSC,20,0,0.8107095667495487,0.5014663366573875,0.8066380892875156
log_REP_GDSC,20,1,0.8188090419256187,0.5215511332552212,0.81744461071587
log_REP_GDSC,20,2,0.8123283174377828,0.5137116031802852,0.8040203284693942
log_REP_GDSC,20,3,0.8278241680091389,0.5031901579613277,0.8159329544773439
log_REP_GDSC,20,4,0.8290225398403617,0.5088517470183948,0.8082358157323426
log_REP_GDSC,20,5,0.8307414037302333,0.5073945535580995,0.8222976248226473
log_REP_GDSC,20,6,0.8227339966860396,0.5332653601722502,0.8218952909871463
log_REP_GDSC,20,7,0.8181878006850848,0.49636000416810566,0.8153241697867687
log_REP_GDSC,20,8,0.8293675796245689,0.5393870017463357,0.8111554959672825
log_REP_GDSC,20,9,0.8202729330306151,0.5133381677376956,0.8106213382403545
log_REP_GDSC,40,0,0.8117054516102714,0.5037365833137666,0.7875730571893402
log_REP_GDSC,40,1,0.7981578148509044,0.5139921709391,0.7665567801647735
log_REP_GDSC,40,2,0.7752119313256394,0.5160119476459508,0.7752466224282933
log_REP_GDSC,40,3,0.8051279638689253,0.5111979572965326,0.7757476364092172
log_REP_GDSC,40,4,0.8019940335901663,0.5078741637007956,0.7817622328236552
log_REP_GDSC,40,5,0.7945733980200279,0.508329627214056,0.7715092175380253
log_REP_GDSC,40,6,0.8048111246970914,0.5220533766520264,0.7854654314218329
log_REP_GDSC,40,7,0.7997468428174905,0.5130471917575741,0.7703998638327477
log_REP_GDSC,40,8,0.8255224460613606,0.5220904939746343,0.7919072453836563
log_REP_GDSC,40,9,0.7923175639052393,0.5140485489335075,0.7791534930709342
log_REP_GDSC,60,0,0.7627028093815545,0.5142409771177333,0.7460901399050619
log_REP_GDSC,60,1,0.7472247926710233,0.5124866594418173,0.7217619391929614
log_REP_GDSC,60,2,0.7533881173825313,0.5120528383021377,0.7339934017964782
log_REP_GDSC,60,3,0.749996358412599,0.5164388043628692,0.7120773153487668
log_REP_GDSC,60,4,0.7551874805365801,0.5151149298464986,0.7154147449578339
log_REP_GDSC,60,5,0.766751237111306,0.5123707355574219,0.7353631531460837
log_REP_GDSC,60,6,0.7498534759131278,0.516357534639244,0.735911702146182
log_REP_GDSC,60,7,0.7392819234093233,0.5116743797617441,0.73852972793822
log_REP_GDSC,60,8,0.764180118084524,0.5157458812937353,0.730668260447212
log_REP_GDSC,60,9,0.7634503197764287,0.5131235738483068,0.7315971458270687
log_REP_GDSC,80,0,0.7230108610562358,0.5114700318867388,0.6499924387956165
log_REP_GDSC,80,1,0.7201661659809739,0.5106156336808771,0.5987612360395197
log_REP_GDSC,80,2,0.723319168605539,0.5086297149438439,0.6567863057114178
log_REP_GDSC,80,3,0.7169784816771377,0.5141401929336519,0.5450514627794424
log_REP_GDSC,80,4,0.7290197884949446,0.5087766197004905,0.6515412270151046
log_REP_GDSC,80,5,0.704586047183279,0.51230089019097,0.6054190219030873
log_REP_GDSC,80,6,0.7326124555685559,0.5139767741783289,0.6564558224592894
log_REP_GDSC,80,7,0.6955915469667746,0.5117203587839769,0.5225189609784823
log_REP_GDSC,80,8,0.7278206531186787,0.5101543267734887,0.6606215498043189
log_REP_GDSC,80,9,0.7169057808066173,0.510059548389378,0.6160075095940801
log_REP_CTD2,20,0,0.8150520615080662,0.4971430328896973,0.8254484756054018
log_REP_CTD2,20,1,0.7864007353221251,0.5075244433979923,0.7853755101560458
log_REP_CTD2,20,2,0.7893236065448643,0.518439169587166,0.7877261846574808
log_REP_CTD2,20,3,0.7836307054506138,0.508335268666556,0.7721175749040268
log_REP_CTD2,20,4,0.8015251158746911,0.5065411243373472,0.7966098396871673
log_REP_CTD2,20,5,0.7989953005481624,0.48278835463247693,0.8043497026627734
log_REP_CTD2,20,6,0.8104625343146633,0.49216677972902717,0.8220719022815391
log_REP_CTD2,20,7,0.8077105712533507,0.5061473469657205,0.810276407472681
log_REP_CTD2,20,8,0.8099781231414486,0.5001985010635884,0.8216058818600107
log_REP_CTD2,20,9,0.8017881039931753,0.5031978628398287,0.8187361818524913
log_REP_CTD2,40,0,0.7904087053050759,0.49688086030593265,0.7826681271924851
log_REP_CTD2,40,1,0.787678488873758,0.5075272735843911,0.7771291992322128
log_REP_CTD2,40,2,0.7817441774138509,0.5115592367087337,0.7823671721978639
log_REP_CTD2,40,3,0.7693754187883886,0.504892724679909,0.7565669316192778
log_REP_CTD2,40,4,0.7806284276532962,0.504823288466974,0.7693139511172621
log_REP_CTD2,40,5,0.7837472090690285,0.49788823579745256,0.7734794077894935
log_REP_CTD2,40,6,0.7860798242357251,0.49883130772071216,0.7845709006104234
log_REP_CTD2,40,7,0.7910023994225972,0.5068010246732927,0.7878787756167402
log_REP_CTD2,40,8,0.7911461623531992,0.4910118845935477,0.7849882806815673
log_REP_CTD2,40,9,0.7838547655496797,0.5034834369325942,0.7839796970087839
log_REP_CTD2,60,0,0.7727071917006955,0.5064914322517854,0.7513407496221521
log_REP_CTD2,60,1,0.7620235051866296,0.5053532933506227,0.7496522034731972
log_REP_CTD2,60,2,0.7624204477376579,0.508103288491362,0.7338709038154926
log_REP_CTD2,60,3,0.765324585201605,0.5066703308007044,0.7377292225801508
log_REP_CTD2,60,4,0.7575208008786816,0.4981171369782119,0.7536089879494311
log_REP_CTD2,60,5,0.7635333624917768,0.5006731096276335,0.740517364985925
log_REP_CTD2,60,6,0.7683646678778497,0.4984370128853104,0.7486447867906597
